song,tempo,genre,mood,era,lyrics,any_op
For Baltimore - All Time Low,medium,alternative rock,happy,2010s,"[Intro]
Mayday, situation overload
I'm restless, obsessed with your future
And all my worries they don't bother you
Collected, you render me useless
But I carry on

[Verse 1]
Right now, I think that you think that I'm
Half drunk, searching for something of
Substance, casually dropping a line, designed
To keep you next to me
I can't awkwardly craft in advance
I know that you wouldn't fall for that
You say ""Shut up and take my hand""
And we carry on

[Chorus]
I don't wanna say goodnight
The city comes alive, when we're together
Why can't Thursday last forever?
I don't wanna say goodnight
I've never been so sure
Just do it for the memories
Do it for Baltimore
And do it for me


[Verse 2]
Hot damn, look at me now
I'm all caught up riding the high of my
Good luck, casually dropping a line, designed
To keep you next to me
I bet you never thought you would fall again
So much for keeping this just friends
Shut up and kiss me now
And we carry on

[Chorus]
I don't wanna say goodnight
The city comes alive, when we're together
Why can't Thursday last forever?
I don't wanna say goodnight
I've never been so sure
Just do it for the memories
Do it for Baltimore
And do it for me
(Do it for me)

[Hook]
Mayday, situation overload
I'm restless, obsessed with your future
And all my worries they don't bother you
Collected, you render me useless
But I carry on


[Chorus]
I don't wanna say goodnight
The city comes alive, when we're together
Why can't Thursday last forever?
I don't wanna say goodnight
I've never been so sure
Just do it for the memories
Do it for Baltimore
And do it for me",any
Memory - Sugarcult,fast,alternative rock,happy,2000s,"This may never start
We could fall apart
And I'd be your memory
Lost your sense of fear
Feelings insincere
Can I be your memory?

So get back, back, back to where we lasted
Just like I imagine
I could never feel this way
So get back, back, back to the disaster
My heart's beating faster
Holding on to feel the same

This may never start
I'll tear us apart
Can I be your enemy?
Losing half a year
Waiting for you here
I'd be your anything

Get back, back, back to where we lasted
Just like I imagine
I could never feel this way
Get back, back, back to the disaster
My heart's beating faster
Holding on to feel the same


This may never start
Tearing out my heart
I'd be your memory
Lost your sense of fear
Feelings disappeared
Can I be your memory?

So get back, back, back to where we lasted
Just like I imagine
I could never feel this way
So get back, back, back to the disaster
My heart's beating faster
Holding on to feel the same

This may never start
We could fall apart
And I'd be your memory
Lost your sense of fear
Feelings insincere
Can I be your memory?
Can I be your memory?",any
Pieces - Sum 41,slow,alternative rock,sad,2000s,"[Verse 1]
I tried to be perfect
But nothing was worth it
I don’t believe it makes me real
I thought it’d be easy
But no one believes me
I meant all the things I said

[Chorus]
If you believe it’s in my soul
I’d say all the words that I know
Just to see if it would show
That I’m trying to let you know
That I’m better off on my own

[Verse 2]
This place is so empty
My thoughts are so tempting
I don’t know how it got so bad
Sometimes it’s so crazy
That nothing can save me
But it’s the only thing that I have

[Chorus]
If you believe it’s in my soul
I’d say all the words that I know
Just to see if it would show
That I’m trying to let you know
That I’m better off on my own


On my own..

[Verse 3]
I tried to be perfect
It just wasn’t worth it
Nothing could ever be so wrong
It’s hard to believe me
It never gets easy
I guess I knew that all along

[Chorus]
If you believe it’s in my soul
I’d say all the words that I know
Just to see if it would show
That I’m trying to let you know
That I’m better off on my own",any
What Are You So Scared Of? - Tonight Alive,medium,alternative rock,happy,2000s,"[Verse 1]
Well it's a sad truth, living with these hungry hands
It's a shame, we don't know how much we have
We're scared of what we do not know
No matter where we wanna go
We wait for it, to find you, to find you
But the truth is far behind you now
Time to say it out loud:

[Chorus]
What are you so scared of?
Judgements not unfair
It's what we've learned to see
What are you afraid of?
This is not unheard of
Nothing's how it wasn't always meant to be
Always meant to be

[Verse 2]
And you can go on thinking that you're so hard done by
And don't pretend you've worked so hard, just scraping by
It's not a crime to see the light
It doesn't mean you sleep better at night
It's not a crime to wear a smile

[Chorus]
So what are you so scared of?
Judgements not unfair
It's what we've learned to see
What are you afraid of?
This is not unheard of
Nothing's how it wasn't always meant to be
Always meant to be
[Bridge]
Always meant to be
I used to be scared, I used to be like you
I used to care, then I came unglued
Well, it's something we all have to learn to do
I used to be scared, I used to be like you
I used to care, then I came unglued, unglued

[Outro]
What are you so scared of?
What are you so afraid of?
What are you so scared of?
So, what are you so scared of?
Judgement's not unfair
It's what we've learned to see",any
Pizza Girl - Single File,medium,alternative rock,happy,2000s,"Pizza girl is loving me to pieces
And I'm not asking why
I'm not asking why

It's no surprise the thought of her and I
Is not unlike an endless burning desert
Or a lifetime in a jar upon her dresser
Irregardless she's oh so lovely in her vintage t-shirts
And she's giving us free

Pizza girl is loving me to pieces
And I'm not asking why
I'm not asking why
'Cause pizza girl is calling just to tell me
That she's leaving me
I'm not asking why

'Cause again I'm curious who's this Jessica Denver
She's crowding my phone book
I'm not after friendship
But hey, status changes
So maybe I'll call
Maybe I'll leave her a message
To let her know that

Pizza girl is loving me to pieces
And I'm not asking why
I'm not asking why
'Cause pizza girl is calling just to tell me
That she's leaving me
And I'm not asking why


Should I see you again
I'll promptly declare a thumb war in honor
Of the three other guys banging on my window
I'm pullin' the curtain, I'd rather be dreamin' of Jessica Denver

Pizza girl is loving me to pieces
And I'm not asking why
I'm not asking why
'Cause pizza girl is calling just to tell me
That she's leaving me
(I'm not asking why)
I'm not asking why, no
She's leaving me
(I'm not asking why)
I'm not asking why 'cause

Pizza girl is loving me to pieces
And I'm not asking why
I'm not asking why
'Cause pizza girl is calling just to tell me
That she's leaving me
I'm not asking why
She's leaving me
And I'm not asking why",any
Autumn - Sparks the Rescue,fast,alternative rock,happy,2010s,"Girl, you remind me of summertime
But now you need time to clear your mind
You're tripping over what is wrong and right
Just decide, I've been waiting all night

Think back, think back, to the summertime
I would cross through these state lines
You were always on my mind
It should not be this hard to see
How to get from point A to B
Without losing sleep, without losing sleep

I will follow the electric lines
With my electric heart I then will find
A way through all these damn street signs
But I'll be there, I'll wait by your side
Ooo, by your side

Think back, think back, to the summertime
I would cross through these state lines
You were always on my mind
It should not be this hard to see
How to get from point A to B
Without losing sleep, without losing sleep

We spin, we spin
And fall onto the floor
You're such a lovely lady
We spin, we spin
And circle round once more
Though it's making me crazy, yeah
Think back, think back, to the summertime
I would cross through these state lines
You were always on my mind
It should not be this hard to see
How to get from point A to B
Without losing sleep, without losing sleep

Think back, think back, to the summertime
I would cross through these state lines
You were always on my mind
It should not be this hard to see
How to get from point A to B
Without losing sleep, without losing sleep",any
When We Die - Bowling for Soup,slow,alternative rock,sad,2000s,"[Verse 1]
Well, I know that it's early and it's too hard to think
And the broken empty bottle's a reminder in the sink
But I thought that I should tell you, if it's not too late to say
I can put back all the pieces, they just might not fit the same

[Pre-Chorus]
Cause nothing's worth losing
Especially the chance to make it right

[Chorus]
And I know that we're gonna be fine
And the tattooed mistakes are gonna fade over time
As long as we live, time passes by
And we won't get it back when we die

[Verse 2]
Well, I know it's been years now and I don't look the same
And the hopes and dreams you had for me you thought went down the drain
And the room feels so empty where my pictures used to be
And I can't say that I blame you but you can't blame me

[Pre-Chorus]
Cause nothing's worth losing
Especially the chance to make it right


[Chorus]
And I know that we're gonna be fine
And the tattooed mistakes are gonna fade over time
As long as we live, time passes by
And we won't get it back when we die

[Bridge]
Come over, come over
Cause I gotta know if I am doing this all on my own
Come over, come over
How can I show you if you're not here?

[Chorus]
And I know that we're gonna be fine
And the tattooed mistakes are gonna fade over time
As long as we live, time passes by
And we won't get it back when we die

[Outro]
And I know that we're gonna be fine
(And I know that we're gonna be fine)
And the tattooed mistakes are gonna fade over time
As long as we live, time passes by
And we won't get it back when we die

Come over, come over, whoa-oh
Come over, come over, whoa-oh
Come over, come over...
(I gotta know)
And we won't get it back when we die


Well, I know that it's early...",any
December - Neck Deep,slow,alternative rock,sad,2010s,"[Verse 1]
Stumbled 'round the block a thousand times
You missed every call that I had tried
So now I'm giving up
A heartbreak in mid-December
You don't give a fuck
You never remember me
While you're pulling on his jeans
Getting lost in the big city
I was looking out our window
Watching all the cars go
Wondering if I'll see Chicago
Or a sunset on the West Coast
Or will I die in the cold?
Feeling blue and alone
I wonder if you'll ever hear this song on your stereo

[Chorus]
I hope you get your ball room floor
Your perfect house with rose red doors
I'm the last thing you'd remember
It's been a long, lonely December
I wish I'd known that less is more
But I was passed out on the floor
That's the last thing I remember
It's been a long, lonely December


[Verse 2]
Cast me aside to show yourself in a better light
I came out grieving, barely breathing and you came out alright
But I'm sure you'll take his hand
I hope he's better than I ever could have been
My mistakes were not intentions this is a list of my confessions I couldn't say

Pain is never permanent but tonight it's killing me

[Chorus]
I hope you get your ball room floor
Your perfect house with rose red doors
I'm the last thing you'd remember
It's been a long, lonely December
I wish I'd known that less is more
But I was passed out on the floor
That's the last thing I remember
It's been a long, lonely December

[Bridge]
I miss your face, you're in my head
There's so many things that I should have said
A year of suffering, a lesson learned
I miss your face, you're in my head
There's so many things that I should have said
A year of suffering, a lesson learned


[Chorus]
I hope you get your ball room floor
Your perfect house with rose red doors
I'm the last thing you'd remember
It's been a long, lonely December
I wish I'd known that less is more
But I was passed out on the floor
That's the last thing I remember
It's been a long, lonely December",any
"If You Wanted A Song Written About You, All You Had To Do Was Ask - Mayday Parade",medium,alternative rock,sad,2000s,"I'm throwing away pictures
That I never should have taken in the first place
And it's cold in my apartment
As I'm changing all the colors
From the brightest reds to grays

Well it's 3 o'clock on monday morning
I'm just hoping you're not seeing his face
I've been getting calls in these hotel rooms
Long enough to know that it was him
That took my place

And I hope this makes you happy now
That the flame we had is burning out
And I hope you like your pictures facing down
As even broken hearts may have their doubts

And I'm burning all the letters
Hoping that I might forget her and the bad taste
That she left when she was leaving me
A life of barely breathing as she walked
Out of this place

And you dropped the note and we changed key
You changed yourself and I changed me
I really didn't see us singing through this
Then you screamed the bridge
And I cried the verse
And our chorus came out unrehearsed
And you smiled the whole way through it
I guess maybe that's what's worse


And I hope this makes you happy now
That the flame we had is burning out
And I hope you like your pictures facing down
As even broken hearts may have their doubts

And I'm taking all your memories off the shelf
And I don't need you or anybody else
So take a look at me
See what you want to see
When you get home

Take me home
I'd rather die than be with you
Take me home
You have a problem with the truth
Take me home
Because this happens every time
I knew it would...
I knew it would...

Take me home
I'd rather die than be with you
Take me home
You have a problem with the truth
Take me home
Because this happens every time
And I knew it would...
I knew it would...


And I hope this makes you happy now
That the flame we had is burning out
And I hope you like your pictures facing down
As even broken hearts may have their doubts

And I'm taking all your memories off the shelf
And I don't need you or anybody else
So take a look at me
See what you want to see
When you get home",any
Gypsy Woman - Anarbor,medium,alternative rock,angry,2010s,"[Verse 1]
I think she took my soul but I didn't know
That gypsy woman's got me under control
She fed me lies, yeah, she casts her spells
That gypsy woman's really ringing my bells
And to hell I will go, knocking right on Satan's door
Heavens, no, this ain't it
Honey, I won't beg, I'll just take it quick

[Pre-Chorus]
She took me to my knees
And now she's got me praying

[Chorus]
Save me, she's a liar
And I can't seem to untie
The rope she's got wrapped around her finger
Think I lost the last bit of my self control

[Verse 2]
I can feel the hole that she left
Gypsy woman robbed me of my best
She said she couldn't say
Gypsy woman wore black on our wedding day
And to hell I will go, knocking right on Satan's door
Heavens, no, this ain't it
Honey, I won't beg, I'll just take it quick


[Pre-Chorus]
She took me to my knees
And now she's got me praying

[Chorus]
Save me, she's a liar
And I can't seem to untie
The rope she's got wrapped around her finger
Think I lost the last bit of my self control

[Bridge]
'Cause I don't need what you've been giving me
So, gypsy woman, stay the hell away from me
'Cause I don't need what you've been giving me
So, gypsy woman, stay the hell away from me
'Cause I don't need what you've been giving me
So, gypsy woman, stay the fuck away from me!

[Instrumental Interlude]

(Save me, yeah)

[Chorus]
Save me, she's a liar
And I can't seem to untie
The rope she's got wrapped around her finger
Think I lost the last bit of my self control


[Outro]
Yeah, she's a liar
And I can't seem to untie the rope
She's got wrapped around her finger
I think I lost the last bit of my self control
(My self control)",any
